#        dia        SZA        altitud       Z_MSO
       295          0          1          1
       296          0          1          1
       284          0          0          1
       288          0          1          1
       304          1          1          1
       294          0          1          1
       298          0          1          1
       292          0          1          1
       286          0          1          1
       285          0          1          1
       297          0          1          1
       293          0          1          1
       287          0          0          1
       290          0          1          1
       289          0          1          1
       302          0          0          0
       291          0          1          1
       283          0          1          1
       303          1          1          1
       338          1          1          1
       362          0          0          1
       349          0          0          1
       342          0          1          1
       353          0          0          1
       344          0          1          1
       361          0          0          0
       355          0          0          1
       352          0          1          1
       363          0          0          1
       337          0          1          1
       346          0          0          1
       350          0          0          1
       360          0          1          1
       359          0          1          1
       343          0          0          1
       335          1          1          1
       358          0          1          1
       347          0          0          1
       357          0          1          1
       356          0          0          0
       365          0          0          1
       348          0          0          1
       354          0          0          1
       339          1          1          1
       336          0          1          1
       341          0          0          0
       351          0          0          1
       340          1          1          1
       364          0          0          1
       345          0          0          1
       308          1          1          1
       331          1          1          1
       305          1          1          1
       316          1          1          1
       311          1          1          1
       313          1          1          1
       323          0          0          0
       317          1          1          1
       319          1          1          1
       306          0          1          1
       334          1          1          1
       318          1          1          1
       312          1          1          1
       315          1          1          1
       307          1          1          1
       320          1          1          1
       321          0          0          1
       332          1          1          1
       333          1          1          1
       310          0          0          0
       314          1          1          1
       322          1          1          1
       309          1          1          1
