#        dia        SZA        altitud       Z_MSO
        65          0          0          1
        90          1          1          1
        87          1          1          1
        76          1          1          1
        73          0          0          1
        86          1          1          1
        89          1          1          1
        74          0          1          1
        64          0          0          1
        63          0          0          1
        83          0          0          0
        77          1          1          1
        84          0          0          0
        71          1          1          1
        88          1          1          1
        85          0          0          0
        66          0          0          1
        82          0          0          1
        79          1          1          1
        80          1          1          1
        61          0          1          1
        70          0          0          0
        68          0          1          1
        75          0          0          0
        91          1          1          1
        69          0          0          1
        81          1          1          1
        78          0          0          1
        62          0          0          1
        67          1          1          1
        72          1          1          1
