#        dia          SZA          altitud        Z_MSO
       298          0          1          1
       299          0          1          1
       284          0          1          1
       286          0          1          1
       285          0          1          1
       280          0          1          1
       278          0          1          1
       296          0          1          1
       289          0          1          1
       291          0          1          1
       304          0          1          1
       279          0          1          1
       300          0          1          1
       283          0          1          1
       287          0          1          1
       274          0          1          1
       302          0          1          1
       290          0          1          1
       295          0          1          1
       303          0          1          1
       301          0          1          1
       277          0          1          1
       282          0          1          1
       275          0          0          1
       281          0          1          1
       292          0          1          1
       293          0          1          1
       294          0          1          0
       297          0          1          1
       288          0          1          1
       276          0          1          1
        58          0          1          0
        51          0          0          0
        56          0          1          0
        45          0          0          0
        35          0          1          0
        32          0          1          0
        54          0          1          0
        52          0          1          0
        59          0          1          0
        55          0          1          0
        46          0          1          0
        33          0          1          0
        34          0          1          1
        39          0          1          0
        53          0          1          0
        42          0          1          0
        47          0          1          0
        57          0          1          0
        49          0          1          0
        37          0          1          0
        41          0          1          0
        48          0          1          0
        36          0          0          0
        50          0          1          0
        40          0          0          0
        38          0          1          0
        43          0          0          0
        44          0          1          0
       146          0          1          1
       126          0          1          1
       144          0          1          1
       133          0          1          1
       142          0          1          1
       122          0          1          1
       150          0          1          1
       131          0          1          1
       124          0          1          1
       141          0          1          1
       136          0          1          1
       140          0          1          1
       125          0          1          1
       137          1          1          1
       143          0          1          1
       147          0          1          1
       128          0          1          1
       121          0          1          1
       135          0          1          1
       123          0          1          1
       151          0          1          1
       134          0          1          1
       132          0          1          1
       127          0          1          1
       145          0          1          1
       148          0          1          1
       139          0          1          1
       138          0          1          1
       130          0          1          1
       129          0          1          1
       149          0          1          1
        72          0          1          0
        62          0          1          1
        75          0          1          1
        84          0          1          0
        73          0          1          0
        69          0          1          1
        71          0          1          0
        86          0          1          1
        87          0          1          0
        88          0          1          0
        89          0          1          1
        90          0          1          1
        78          0          1          0
        68          0          1          1
        61          0          1          1
        80          0          1          1
        64          0          0          0
        79          0          1          1
        63          0          1          0
        74          0          1          1
        81          0          1          0
        65          0          1          0
        77          0          1          0
        83          0          1          0
        76          0          1          0
        66          0          1          0
        60          0          1          0
        85          0          1          0
        82          0          1          0
        70          0          1          0
